ticker,EK811981@BMRK Corp
field,PX_LAST
date,
2018-06-20,99.278
2018-06-21,99.45
2018-06-22,99.446
2018-06-25,99.456
2018-06-26,99.504
2018-06-27,99.498
2018-06-28,99.481
2018-06-29,99.462
2018-07-02,99.472
2018-07-03,99.51
2018-07-05,99.454
2018-07-06,99.58
2018-07-09,99.505
2018-07-10,99.587
2018-07-11,99.607
2018-07-12,99.616
2018-07-13,99.676
2018-07-16,99.62
2018-07-17,99.668
2018-07-18,99.598
2018-07-19,99.619
2018-07-20,99.522
2018-07-23,99.549
2018-07-24,99.525
2018-07-25,99.672
2018-07-26,99.672
2018-07-27,99.741
2018-07-30,99.739
2018-07-31,99.731
2018-08-01,99.83
2018-08-02,99.754
2018-08-03,99.794
2018-08-06,99.758
2018-08-07,99.797
2018-08-08,100.016
2018-08-09,99.911
2018-08-10,99.688
2018-08-13,99.522
2018-08-14,99.777
2018-08-15,99.875
2018-08-16,99.871
2018-08-17,99.97
2018-08-20,100.183
2018-08-21,100.155
2018-08-22,100.164
2018-08-23,100.147
2018-08-24,100.102
2018-08-27,100.094
2018-08-28,100.192
2018-08-29,100.263
2018-08-30,100.208
2018-08-31,100.241
2018-09-04,100.042
2018-09-05,99.94
2018-09-06,99.953
2018-09-07,99.859
2018-09-10,99.915
2018-09-11,99.889
2018-09-12,99.903
2018-09-13,99.91
2018-09-14,99.9
2018-09-17,99.937
2018-09-18,99.822
2018-09-19,99.821
2018-09-20,99.786
2018-09-21,99.829
2018-09-24,99.793
2018-09-25,99.798
2018-09-26,99.822
2018-09-27,99.825
2018-09-28,99.77
2018-10-01,99.764
2018-10-02,99.82
2018-10-03,99.821
2018-10-04,99.76
2018-10-05,99.724
2018-10-09,99.68
2018-10-10,99.753
2018-10-11,99.692
2018-10-12,99.688
2018-10-15,99.666
2018-10-16,99.694
2018-10-17,99.673
2018-10-18,99.441
2018-10-19,99.633
2018-10-22,99.632
2018-10-23,99.569
2018-10-24,99.76
2018-10-25,99.606
2018-10-26,99.553
2018-10-29,99.592
2018-10-30,99.528
2018-10-31,99.509
2018-11-01,99.517
2018-11-02,99.487
2018-11-05,99.494
2018-11-06,99.484
2018-11-07,99.502
2018-11-08,99.5
2018-11-09,99.529
2018-11-13,99.526
2018-11-14,99.479
2018-11-15,99.438
2018-11-16,99.516
2018-11-19,99.608
2018-11-20,99.605
2018-11-21,99.64
2018-11-23,99.589
