ticker,EJ536676@BMRK Corp
field,PX_LAST
date,
2017-05-30,86.99
2017-05-31,90.918
2017-06-01,90.554
2017-06-02,90.65
2017-06-05,90.589
2017-06-06,90.656
2017-06-07,88.719
2017-06-08,88.076
2017-06-09,85.405
2017-06-12,80.762
2017-06-13,82.525
2017-06-14,81.34
2017-06-15,80.672
2017-06-16,85.344
2017-06-19,84.752
2017-06-20,84.92
2017-06-21,83.048
2017-06-22,82.786
2017-06-23,85.778
2017-06-26,86.561
2017-06-27,86.758
2017-06-28,86.412
2017-06-29,87.394
2017-06-30,87.151
2017-07-03,87.198
2017-07-05,87.318
2017-07-06,87.865
2017-07-07,87.301
2017-07-10,87.196
2017-07-11,87.4
2017-07-12,88.258
2017-07-13,92.44
2017-07-14,92.166
2017-07-17,92.254
2017-07-18,92.516
2017-07-19,93.357
2017-07-20,93.676
2017-07-21,93.635
2017-07-24,93.575
2017-07-25,93.54
2017-07-26,94.524
2017-07-27,94.251
2017-07-28,94.794
2017-07-31,94.068
2017-08-01,94.261
2017-08-02,93.797
2017-08-03,93.85
2017-08-04,93.764
2017-08-07,93.474
2017-08-08,93.413
2017-08-09,93.679
2017-08-10,93.116
2017-08-11,92.724
2017-08-14,93.091
2017-08-15,93.761
2017-08-16,94.286
2017-08-17,95.027
2017-08-18,95.491
2017-08-21,95.578
2017-08-22,95.769
2017-08-23,95.402
2017-08-24,96.053
2017-08-25,96.436
2017-08-28,96.666
2017-08-29,96.918
2017-08-30,96.921
2017-08-31,97.139
2017-09-01,97.131
2017-09-05,95.422
2017-09-06,94.526
2017-09-07,95.203
2017-09-08,94.602
2017-09-11,94.566
2017-09-12,94.754
2017-09-13,95.068
2017-09-14,95.439
2017-09-15,95.158
2017-09-18,95.218
2017-09-19,95.462
2017-09-20,95.638
2017-09-21,95.445
2017-09-22,95.561
2017-09-25,95.675
2017-09-26,96.011
2017-09-27,95.849
2017-09-28,96.714
2017-09-29,96.967
2017-10-02,97.039
2017-10-03,97.287
2017-10-04,97.411
2017-10-05,97.256
2017-10-06,97.25
2017-10-10,96.784
2017-10-11,96.236
2017-10-12,96.44
2017-10-13,96.483
2017-10-16,96.276
2017-10-17,96.232
2017-10-18,96.245
2017-10-19,96.284
2017-10-20,95.426
2017-10-23,95.58
2017-10-24,95.976
2017-10-25,96.079
2017-10-26,95.951
2017-10-27,96.166
2017-10-30,96.38
2017-10-31,96.168
2017-11-01,96.258
2017-11-02,96.16
2017-11-03,96.431
2017-11-06,96.428
2017-11-07,96.091
2017-11-08,95.631
2017-11-09,95.671
2017-11-10,95.49
2017-11-13,95.368
2017-11-14,95.718
2017-11-15,95.644
2017-11-16,95.497
2017-11-17,95.537
2017-11-20,96.009
2017-11-21,95.722
2017-11-22,95.967
2017-11-24,95.888
2017-11-27,96.055
2017-11-28,96.198
2017-11-29,96.065
2017-11-30,96.105
2017-12-01,96.075
2017-12-04,95.64
2017-12-05,96.765
2017-12-06,96.512
2017-12-07,95.507
2017-12-08,95.253
2017-12-11,96.094
2017-12-12,94.912
2017-12-13,95.785
2017-12-14,95.616
2017-12-15,95.37
2017-12-18,94.991
2017-12-19,94.954
2017-12-20,95.187
2017-12-21,96.038
2017-12-22,96.027
2017-12-26,96.06
2017-12-27,96.216
2017-12-28,95.326
2017-12-29,95.428
2018-01-02,95.394
2018-01-03,95.345
2018-01-04,95.716
2018-01-05,96.013
2018-01-08,96.084
2018-01-09,96.404
2018-01-10,97.172
2018-01-11,97.026
2018-01-12,96.929
2018-01-16,96.643
2018-01-17,96.443
2018-01-18,96.373
2018-01-19,96.388
2018-01-22,96.166
2018-01-23,96.362
2018-01-24,96.413
2018-01-25,96.804
2018-01-26,97.053
2018-01-29,96.985
2018-01-30,96.933
2018-01-31,96.84
2018-02-01,96.953
2018-02-02,95.995
2018-02-05,96.358
2018-02-06,94.918
2018-02-07,95.513
2018-02-08,95.04
2018-02-09,94.344
2018-02-12,94.859
2018-02-13,95.302
2018-02-14,94.456
2018-02-15,94.325
2018-02-16,94.57
2018-02-20,95.186
2018-02-21,94.963
2018-02-22,95.147
2018-02-23,95.537
2018-02-26,95.538
2018-02-27,95.433
2018-02-28,95.276
2018-03-01,95.412
2018-03-02,95.313
2018-03-05,94.947
2018-03-06,95.289
2018-03-07,94.825
2018-03-08,94.771
2018-03-09,95.104
2018-03-12,95.473
2018-03-13,95.3
2018-03-14,95.263
2018-03-15,95.225
2018-03-16,95.915
2018-03-19,95.271
2018-03-20,95.114
2018-03-21,95.287
2018-03-22,95.225
2018-03-23,94.941
2018-03-26,94.771
2018-03-27,94.858
2018-03-28,94.812
2018-03-29,95.494
2018-04-02,95.383
2018-04-03,95.251
2018-04-04,94.981
2018-04-05,96.005
2018-04-06,96.23
2018-04-09,96.311
2018-04-10,97.491
2018-04-11,97.316
