date,Spread
2012-01-17,183.46
2012-01-18,187.63
2012-01-19,193.468
2012-01-20,198.223
2012-01-23,201.386
2012-01-24,202.274
2012-01-25,195.733
2012-01-26,188.39
2012-01-27,183.851
2012-01-30,179.652
2012-01-31,174.455
2012-02-01,176.889
2012-02-02,174.33
2012-02-03,184.952
2012-02-06,183.88
2012-02-07,189.035
2012-02-08,190.426
2012-02-09,194.833
2012-02-10,190.313
2012-02-13,187.577
2012-02-14,182.767
2012-02-15,181.905
2012-02-16,188.44
2012-02-17,192.378
2012-02-20,192.378
2012-02-21,199.646
2012-02-22,192.042
2012-02-23,190.839
2012-02-24,188.248
2012-02-27,182.217
2012-02-28,184.958
2012-02-29,189.338
2012-03-01,195.322
2012-03-02,191.12
2012-03-05,194.771
2012-03-06,186.981
2012-03-07,189.766
2012-03-08,193.42
2012-03-09,194.484
2012-03-12,195.518
2012-03-13,204.327
2012-03-14,218.563
2012-03-15,219.645
2012-03-16,221.103
2012-03-19,229.926
2012-03-20,226.597
2012-03-21,220.796
2012-03-22,220.53
2012-03-23,215.886
2012-03-26,217.25
2012-03-27,210.056
2012-03-28,212.175
2012-03-29,209.605
2012-03-30,214.195
2012-04-02,211.938
2012-04-03,222.433
2012-04-04,215.046
2012-04-05,211.024
2012-04-06,198.161
2012-04-09,196.947
2012-04-10,189.932
2012-04-11,195.206
2012-04-12,196.795
2012-04-13,189.929
2012-04-16,190.262
2012-04-17,192.019
2012-04-18,190.751
2012-04-19,189.873
2012-04-20,189.519
2012-04-23,185.95
2012-04-24,189.045
2012-04-25,189.592
2012-04-26,185.024
2012-04-27,184.756
2012-04-30,182.056
2012-05-01,185.543
2012-05-02,184.979
2012-05-03,185.328
2012-05-04,180.577
2012-05-07,179.367
2012-05-08,174.699
2012-05-09,173.464
2012-05-10,177.377
2012-05-11,174.44
2012-05-14,167.557
2012-05-15,167.477
2012-05-16,166.706
2012-05-17,160.387
2012-05-18,164.467
2012-05-21,167.364
2012-05-22,168.581
2012-05-23,165.153
2012-05-24,168.424
2012-05-25,165.493
2012-05-28,165.493
2012-05-29,166.687
2012-05-30,155.443
2012-05-31,149.018
2012-06-01,138.44
2012-06-04,145.632
2012-06-05,149.667
2012-06-06,157.641
2012-06-07,156.102
2012-06-08,155.753
2012-06-11,150.825
2012-06-12,157.631
2012-06-13,149.973
2012-06-14,154.394
2012-06-15,148.684
2012-06-18,149.609
2012-06-19,153.153
2012-06-20,157.413
2012-06-21,153.823
2012-06-22,159.625
2012-06-25,152.446
2012-06-26,153.837
2012-06-27,152.98
2012-06-28,149.396
2012-06-29,156.21
2012-07-02,151.584
2012-07-03,154.66
2012-07-04,154.66
2012-07-05,152.424
2012-07-06,147.643
2012-07-09,143.905
2012-07-10,141.362
2012-07-11,142.373
2012-07-12,137.63
2012-07-13,140.229
2012-07-16,138.447
2012-07-17,141.463
2012-07-18,140.609
2012-07-19,142.976
2012-07-20,136.858
2012-07-23,133.304
2012-07-24,128.945
2012-07-25,129.944
2012-07-26,133.472
2012-07-27,144.321
2012-07-30,140.391
2012-07-31,136.987
2012-08-01,143.1
2012-08-02,139.005
2012-08-03,148.533
2012-08-06,148.872
2012-08-07,153.033
2012-08-08,154.089
2012-08-09,157.483
2012-08-10,155.424
2012-08-13,156.614
2012-08-14,162.933
2012-08-15,173.246
2012-08-16,175.159
2012-08-17,174.27
2012-08-20,171.72
2012-08-21,169.534
2012-08-22,158.852
2012-08-23,157.99
2012-08-24,159.358
2012-08-27,155.763
2012-08-28,153.548
2012-08-29,155.257
2012-08-30,152.524
2012-08-31,147.574
2012-09-03,147.574
2012-09-04,148.427
2012-09-05,149.286
2012-09-06,157.499
2012-09-07,156.472
2012-09-10,155.099
2012-09-11,160.224
2012-09-12,165.426
2012-09-13,162.473
2012-09-14,176.773
2012-09-17,174.832
2012-09-18,171.032
2012-09-19,166.361
2012-09-20,165.625
2012-09-21,164.969
2012-09-24,161.141
2012-09-25,155.807
2012-09-26,150.64
2012-09-27,156.631
2012-09-28,154.059
2012-10-01,154.213
2012-10-02,153.19
2012-10-03,152.673
2012-10-04,157.015
2012-10-05,164.477
2012-10-08,164.477
2012-10-09,161.519
2012-10-10,157.589
2012-10-11,157.157
2012-10-12,155.774
2012-10-15,156.977
2012-10-16,163.072
2012-10-17,171.031
2012-10-18,173.637
2012-10-19,166.695
2012-10-22,171.707
2012-10-23,165.074
2012-10-24,167.73
2012-10-25,170.751
2012-10-26,162.849
2012-10-29,160.226
2012-10-31,157.855
2012-11-01,162.786
2012-11-02,161.831
2012-11-05,158.774
2012-11-06,165.405
2012-11-07,154.494
2012-11-08,152.329
2012-11-09,150.972
2012-11-12,150.972
2012-11-13,150.294
2012-11-14,148.459
2012-11-15,151.163
2012-11-16,149.974
2012-11-19,153.196
2012-11-20,158.986
2012-11-21,158.328
2012-11-22,158.328
2012-11-23,159.867
2012-11-26,156.62
2012-11-27,154.565
2012-11-28,153.204
2012-11-29,152.855
2012-11-30,153.446
2012-12-03,153.957
2012-12-04,150.137
2012-12-05,149.111
2012-12-06,148.94
2012-12-07,153.534
2012-12-10,153.528
2012-12-11,158.31
2012-12-12,163.204
2012-12-13,167.415
2012-12-14,167.106
2012-12-17,174.633
2012-12-18,176.127
2012-12-19,174.56
2012-12-20,174.041
2012-12-21,170.148
2012-12-24,171.794
2012-12-25,171.794
2012-12-26,169.027
2012-12-27,166.538
2012-12-28,169.073
2012-12-31,171.177
2013-01-01,171.177
2013-01-02,177.624
2013-01-03,184.115
2013-01-04,182.808
2013-01-07,183.145
2013-01-08,181.249
2013-01-09,179.6
2013-01-10,182.989
2013-01-11,179.67
2013-01-14,177.38
2013-01-15,174.982
2013-01-16,174.24
2013-01-17,180.339
2013-01-18,176.559
2013-01-21,176.559
2013-01-22,177.579
2013-01-23,174.804
2013-01-24,176.864
2013-01-25,187.266
2013-01-28,189.542
2013-01-29,192.813
2013-01-30,192.611
2013-01-31,190.887
2013-02-01,194.393
2013-02-04,189.393
2013-02-05,192.194
2013-02-06,188.934
2013-02-07,188.584
2013-02-08,187.892
2013-02-11,189.248
2013-02-12,189.084
2013-02-13,193.135
2013-02-14,189.599
2013-02-15,190.031
2013-02-18,190.031
2013-02-19,191.621
2013-02-20,188.695
2013-02-21,184.981
2013-02-22,183.508
2013-02-25,174.202
2013-02-26,176.42
2013-02-27,179.494
2013-02-28,176.914
2013-03-01,173.474
2013-03-04,178.422
2013-03-05,179.64
2013-03-06,183.607
2013-03-07,189.505
2013-03-08,195.144
2013-03-11,196.126
2013-03-12,191.929
2013-03-13,192.96
2013-03-14,193.327
2013-03-15,190.326
2013-03-18,187.858
2013-03-19,184.091
2013-03-20,188.71
2013-03-21,184.023
2013-03-22,185.403
2013-03-25,185.387
2013-03-26,183.33
2013-03-27,175.412
2013-03-28,177.262
2013-03-29,177.258
2013-04-01,178.069
2013-04-02,178.797
2013-04-03,174.98
2013-04-04,169.663
2013-04-05,164.688
2013-04-08,168.518
2013-04-09,168.433
2013-04-10,173.243
2013-04-11,172.282
2013-04-12,165.49
2013-04-15,161.894
2013-04-16,166.661
2013-04-17,163.92
2013-04-18,162.888
2013-04-19,165.421
2013-04-22,164.217
2013-04-23,165.577
2013-04-24,164.891
2013-04-25,165.226
2013-04-26,160.758
2013-04-29,161.432
2013-04-30,162.101
2013-05-01,157.323
2013-05-02,158.494
2013-05-03,168.752
2013-05-06,172.336
2013-05-07,174.23
2013-05-08,172.087
2013-05-09,177.033
2013-05-10,185.167
2013-05-13,188.02
2013-05-14,193.34
2013-05-15,188.91
2013-05-16,185.046
2013-05-17,191.513
2013-05-20,192.917
2013-05-21,188.571
2013-05-22,199.889
2013-05-23,197.01
2013-05-24,196.75
2013-05-27,196.75
2013-05-28,211.959
2013-05-29,207.478
2013-05-30,208.055
2013-05-31,209.776
2013-06-03,208.893
2013-06-04,210.06
2013-06-05,204.868
2013-06-06,202.617
2013-06-07,212.62
2013-06-10,216.409
