,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('QZ697270@BMRK Corp', 'PX_LAST')"
97,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
98,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
99,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
100,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
101,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
102,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
103,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
104,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
105,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
106,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
107,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
108,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
109,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
110,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
111,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
112,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
113,,BB-,0.0,BB,0.0,,0.0,,,,,,,775.0,40.0,Y,Sr Unsecured,FIXED,2.0,3.340559482574463,2.772325277328491,1.6985118389129639,
